,ampulla_of_vater,angiectasia,blood_fresh,blood_hematin,erosion,erythema,foreign_body,ileocecal_valve,lymphangiectasia,normal_clean_mucosa,polyp,pylorus,reduced_mucosal_view,ulcer
ampulla_of_vater,0,0,0,0,0,0,0,0,0,4,9,4,0,0
angiectasia,0,0,0,10,0,0,0,10,0,35,30,50,6,2
blood_fresh,0,0,0,17,0,0,0,0,0,2,2,1,0,0
blood_hematin,0,0,0,7578,0,0,0,2,0,7,600,10,14,0
erosion,0,0,0,2,0,0,4,14,16,131,21,0,0,3
erythema,0,0,0,0,0,0,0,0,0,4,0,0,5,0
foreign_body,0,0,0,0,0,0,7,0,0,3,0,7,0,0
ileocecal_valve,0,2,29,2,1,0,49,247,44,189,46,0,97,47
lymphangiectasia,0,0,0,0,1,0,0,0,7,57,5,4,0,0
normal_clean_mucosa,0,15,0,0,26,5,219,95,413,3401,65,13,146,26
polyp,0,0,0,309,1,0,0,1,2,409,2281,15,4,1
pylorus,0,0,1,1,5,1,1,0,2,109,14,61,0,3
reduced_mucosal_view,0,0,0,0,1,0,5,252,13,41,92,0,415,9
ulcer,1,0,0,2,14,0,0,0,0,23,34,4,0,49
