,ampulla_of_vater,angiectasia,blood_fresh,blood_hematin,erosion,erythema,foreign_body,ileocecal_valve,lymphangiectasia,normal_clean_mucosa,polyp,pylorus,reduced_mucosal_view,ulcer
ampulla_of_vater,0,0,0,0,1,0,0,0,0,3,8,5,0,0
angiectasia,0,3,0,11,15,6,0,5,0,12,3,74,6,8
blood_fresh,0,0,0,6,0,0,0,1,0,1,1,13,0,0
blood_hematin,0,0,0,7834,2,0,0,3,1,0,344,18,9,0
erosion,0,1,0,2,6,4,65,24,0,76,3,1,1,8
erythema,0,0,0,0,0,0,0,1,0,5,0,0,3,0
foreign_body,0,0,0,0,0,0,4,0,0,0,0,13,0,0
ileocecal_valve,0,4,43,2,20,3,57,329,14,146,41,1,87,6
lymphangiectasia,0,0,0,0,1,0,0,0,4,22,2,45,0,0
normal_clean_mucosa,0,11,0,0,37,5,131,91,313,3633,19,83,96,5
polyp,0,0,0,247,0,0,0,4,0,80,2337,354,0,1
pylorus,0,0,1,0,7,0,6,1,2,58,9,114,0,0
reduced_mucosal_view,0,0,1,3,0,0,54,309,22,105,14,0,314,6
ulcer,5,0,1,0,45,0,1,1,0,7,15,26,0,26
